Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
76,Immanuel Quickley,25,TOR,PG,33,33,27.8,5.6,13.3,.420,2.6,6.8,.378,3.0,6.5,.465,.517,3.4,3.9,.867,0.5,3.1,3.5,5.8,0.7,0.1,1.8,1.8,17.1,,quickim01
77,De'Andre Hunter,27,2TM,SF,64,9,27.2,5.6,11.9,.470,2.5,6.1,.405,3.1,5.8,.537,.573,3.4,4.0,.846,0.7,3.3,4.0,1.4,0.8,0.2,1.3,2.4,17.0,6MOY-4,huntede01
77,De'Andre Hunter,27,ATL,SF,37,4,28.8,6.1,13.3,.461,2.6,6.7,.393,3.5,6.6,.531,.560,4.1,4.8,.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0,,huntede01
77,De'Andre Hunter,27,CLE,SF,27,5,25.0,4.9,10.0,.485,2.2,5.2,.426,2.6,4.8,.550,.596,2.4,2.9,.821,0.6,3.6,4.2,1.3,0.7,0.3,0.9,2.5,14.3,,huntede01
78,Bradley Beal,31,PHO,SG,53,38,32.1,6.5,13.1,.497,1.9,5.0,.386,4.6,8.1,.565,.571,2.1,2.6,.803,0.6,2.7,3.3,3.7,1.1,0.5,1.9,2.6,17.0,,bealbr01
79,Deni Avdija,24,POR,SF,72,54,30.0,5.6,11.7,.476,1.7,4.8,.365,3.8,7.0,.552,.550,4.0,5.2,.780,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9,,avdijde01
80,Keyonte George,21,UTA,PG,67,35,31.5,5.4,13.7,.391,2.6,7.6,.343,2.8,6.1,.449,.485,3.5,4.3,.818,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8,,georgke01
81,Ivica Zubac,27,LAC,C,80,80,32.8,7.4,11.8,.628,0.0,0.0,,7.4,11.8,.628,.628,2.0,3.0,.661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8,DPOY-6DEF2,zubaciv01
82,Derrick White,30,BOS,SG,76,76,33.9,5.6,12.6,.442,3.5,9.1,.384,2.1,3.5,.593,.580,1.8,2.1,.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,DPOY-10,whitede01
83,Malik Beasley,28,DET,SG,82,18,27.8,5.6,13.1,.430,3.9,9.3,.416,1.7,3.7,.466,.579,1.2,1.7,.679,0.6,2.0,2.6,1.7,0.9,0.1,1.0,1.5,16.3,6MOY-2,beaslma01
84,Devin Vassell,24,SAS,SG,64,53,31.0,6.2,13.9,.443,2.5,6.7,.368,3.7,7.2,.513,.532,1.5,1.9,.792,0.5,3.5,4.0,2.9,1.3,0.5,1.4,1.7,16.3,,vassede01
85,Jordan Clarkson,32,UTA,SG,37,9,26.0,5.4,13.3,.408,2.3,6.3,.362,3.2,7.1,.448,.493,3.1,3.9,.797,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2,,clarkjo01
86,Paul George,34,PHI,PF,41,41,32.5,6.0,13.9,.430,2.3,6.5,.358,3.6,7.4,.493,.514,1.9,2.4,.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,,georgpa01
87,Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,,suggsja01
88,Bennedict Mathurin,22,IND,SF,72,49,29.8,5.4,11.8,.458,1.4,4.0,.340,4.1,7.8,.519,.516,3.8,4.6,.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,,mathube01
89,Myles Turner,28,IND,C,72,72,30.2,5.4,11.3,.481,2.2,5.5,.396,3.3,5.8,.561,.577,2.6,3.3,.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,,turnemy01
90,Christian Braun,23,DEN,SG,79,77,33.9,6.0,10.4,.580,1.1,2.8,.397,4.9,7.6,.648,.634,2.2,2.7,.827,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,15.4,,braunch01
91,Jonathan Kuminga,22,GSW,PF,47,10,24.3,5.5,12.1,.454,1.0,3.2,.305,4.5,8.9,.508,.495,3.3,5.0,.668,1.2,3.4,4.6,2.2,0.8,0.4,1.5,1.9,15.3,,kuminjo01
92,Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,.460,2.2,5.8,.383,3.3,6.1,.532,.553,2.1,2.4,.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,ROY-7,mccaija01
93,Mark Williams,23,CHO,C,44,41,26.6,6.1,10.2,.604,0.0,0.1,.000,6.1,10.1,.609,.604,3.0,3.7,.804,3.0,7.2,10.2,2.5,0.7,1.2,1.6,2.4,15.3,,willima07
94,Kelly Oubre Jr.,29,PHI,SF,60,57,34.6,5.8,12.4,.470,1.2,4.0,.293,4.6,8.3,.555,.518,2.3,3.1,.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,,oubreke01
95,Chet Holmgren,22,OKC,C,32,32,27.4,5.2,10.7,.490,1.4,3.6,.379,3.8,7.0,.547,.554,3.2,4.2,.754,1.5,6.5,8.0,2.0,0.7,2.2,1.8,2.3,15.0,,holmgch01
96,Kyle Kuzma,29,2TM,PF,65,62,29.8,5.7,13.0,.436,1.5,4.8,.307,4.2,8.2,.512,.493,2.0,3.1,.634,0.8,4.9,5.7,2.3,0.6,0.3,2.2,1.8,14.8,,kuzmaky01
96,Kyle Kuzma,29,WAS,PF,32,30,27.7,6.0,14.2,.420,1.4,5.0,.281,4.6,9.2,.495,.469,1.8,3.1,.602,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,15.2,,kuzmaky01
96,Kyle Kuzma,29,MIL,PF,33,32,31.8,5.4,11.9,.455,1.5,4.6,.333,3.9,7.3,.533,.520,2.1,3.2,.663,0.8,4.8,5.6,2.2,0.5,0.4,2.2,2.0,14.5,,kuzmaky01
97,Stephon Castle,20,SAS,SG,81,47,26.7,5.2,12.2,.428,1.2,4.1,.285,4.0,8.1,.501,.476,3.1,4.2,.724,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2.0,14.7,ROY-1,castlst01
98,Aaron Gordon,29,DEN,PF,51,42,28.4,5.2,9.7,.531,1.5,3.4,.436,3.7,6.4,.582,.607,2.8,3.5,.810,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,,gordoaa01
99,P.J. Washington,26,DAL,PF,57,56,32.2,5.3,11.7,.453,1.6,4.2,.381,3.7,7.5,.493,.521,2.5,3.5,.722,1.4,6.3,7.8,2.3,1.1,1.1,2.1,2.3,14.7,,washipj01
100,Quentin Grimes,24,2TM,SG,75,37,26.8,5.1,11.0,.467,2.2,5.6,.385,3.0,5.4,.552,.565,2.2,2.9,.757,0.8,3.5,4.3,3.0,1.0,0.3,1.9,1.8,14.6,,grimequ01
100,Quentin Grimes,24,DAL,SG,47,12,22.8,3.6,7.8,.463,1.7,4.3,.398,1.9,3.5,.543,.573,1.3,1.7,.765,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,10.2,,grimequ01
100,Quentin Grimes,24,PHI,SG,28,25,33.7,7.7,16.4,.469,2.9,7.9,.373,4.8,8.5,.559,.559,3.6,4.8,.752,1.0,4.1,5.2,4.5,1.5,0.4,2.9,2.1,21.9,,grimequ01
101,Josh Giddey,22,CHI,PG,70,69,30.2,5.3,11.4,.465,1.5,4.0,.378,3.8,7.4,.512,.531,2.5,3.2,.781,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,14.6,,giddejo01
102,Jakob Poeltl,29,TOR,C,57,56,29.6,6.4,10.2,.627,0.0,0.1,.333,6.4,10.1,.628,.628,1.7,2.5,.674,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5,,poeltja01
103,Deandre Ayton,26,POR,C,40,40,30.2,6.6,11.7,.566,0.2,0.8,.188,6.5,10.9,.594,.573,1.0,1.5,.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,,aytonde01
104,Gradey Dick,21,TOR,SG,54,54,29.4,4.9,12.0,.410,2.1,6.0,.350,2.8,5.9,.470,.498,2.5,2.9,.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4,,dickgr01
105,Jerami Grant,30,POR,PF,47,47,32.4,4.6,12.2,.373,2.3,6.3,.365,2.3,5.9,.381,.467,3.0,3.5,.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4,,grantje01
106,Payton Pritchard,27,BOS,PG,80,3,28.4,5.1,10.8,.472,3.2,7.8,.407,1.9,3.0,.642,.620,0.9,1.1,.845,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,14.3,6MOY-1,pritcpa01
107,Naz Reid,25,MIN,C,80,17,27.5,5.3,11.5,.462,2.2,5.8,.379,3.1,5.8,.544,.556,1.4,1.8,.776,1.2,4.9,6.0,2.3,0.7,0.9,1.4,2.4,14.2,6MOY-5,reidna01
108,Dyson Daniels,21,ATL,SG,76,76,33.8,6.0,12.1,.493,1.1,3.1,.340,4.9,9.1,.545,.536,1.1,1.8,.593,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,14.1,DPOY-2MIP-1DEF1,daniedy01
109,Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,,manntr01
110,Amen Thompson,22,HOU,SF,69,42,32.2,5.6,10.1,.557,0.4,1.3,.275,5.3,8.8,.599,.575,2.4,3.6,.684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,14.1,DPOY-5DEF1,thompam01
111,Fred VanVleet,30,HOU,PG,60,60,35.2,4.8,12.7,.378,2.7,7.7,.345,2.1,5.0,.430,.483,1.9,2.3,.810,0.5,3.2,3.7,5.6,1.6,0.4,1.5,2.3,14.1,,vanvlfr01
112,Dillon Brooks,29,HOU,SF,75,75,31.8,5.1,11.9,.429,2.5,6.3,.397,2.6,5.7,.465,.533,1.3,1.6,.818,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.2,14.0,,brookdi01
113,Tolu Smith,24,DET,PF,1,0,22.0,6.0,9.0,.667,0.0,0.0,,6.0,9.0,.667,.667,2.0,3.0,.667,4.0,4.0,8.0,0.0,0.0,0.0,2.0,3.0,14.0,,smithto05
114,Klay Thompson,34,DAL,SF,72,72,27.3,5.0,12.2,.412,3.0,7.7,.391,2.0,4.5,.448,.535,0.9,1.0,.905,0.6,2.8,3.4,2.0,0.7,0.4,1.2,1.1,14.0,,thompkl01
115,Bobby Portis,29,MIL,PF,49,7,25.4,5.7,12.1,.466,1.3,3.6,.365,4.3,8.5,.508,.520,1.2,1.5,.836,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,13.9,,portibo01
116,Tobias Harris,32,DET,PF,73,73,31.6,5.3,11.0,.477,1.2,3.6,.345,4.0,7.4,.542,.534,2.0,2.3,.861,0.9,5.0,5.9,2.2,1.0,0.8,1.2,1.9,13.7,,harrito02
117,Josh Hart,29,NYK,SG,77,77,37.6,5.2,10.0,.525,1.1,3.3,.333,4.2,6.7,.618,.579,2.1,2.7,.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,,hartjo01
118,Jarrett Allen,26,CLE,C,82,82,28.0,5.5,7.8,.706,0.0,0.1,.000,5.5,7.7,.712,.706,2.4,3.4,.718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5,,allenja01
119,Onyeka Okongwu,24,ATL,C,74,40,27.9,5.2,9.2,.567,0.6,2.0,.324,4.6,7.2,.634,.602,2.2,2.9,.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,,okongon01
120,Russell Westbrook,36,DEN,PG,75,36,27.9,5.0,11.1,.449,1.3,3.9,.323,3.7,7.2,.517,.505,2.1,3.1,.661,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,13.3,6MOY-7,westbru01
121,Naji Marshall,27,DAL,SF,69,31,27.8,5.2,10.3,.508,0.9,3.2,.275,4.4,7.2,.611,.551,1.9,2.3,.813,1.1,3.7,4.8,3.0,1.0,0.2,1.6,1.6,13.2,,marshna01
122,Dennis Schröder,31,3TM,PG,75,49,28.1,4.5,11.0,.406,1.7,4.9,.342,2.8,6.1,.458,.483,2.4,2.9,.838,0.4,2.3,2.6,5.4,0.9,0.2,1.9,2.4,13.1,,schrode01
122,Dennis Schröder,31,BRK,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,,schrode01
122,Dennis Schröder,31,GSW,SG,24,18,26.2,3.9,10.5,.375,1.5,4.8,.322,2.4,5.7,.419,.448,1.2,1.6,.744,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,10.6,,schrode01
122,Dennis Schröder,31,DET,PG,28,8,25.2,3.4,9.0,.378,1.1,3.8,.302,2.3,5.2,.434,.442,2.9,3.4,.833,0.5,2.2,2.6,5.3,0.5,0.2,1.3,2.0,10.8,,schrode01
123,Rui Hachimura,26,LAL,PF,59,57,31.7,5.0,9.8,.509,1.7,4.2,.413,3.2,5.6,.581,.597,1.5,1.9,.770,1.3,3.7,5.0,1.4,0.8,0.4,0.8,1.8,13.1,,hachiru01
124,Brook Lopez,36,MIL,C,80,80,31.8,4.9,9.7,.509,1.7,4.7,.373,3.2,5.0,.636,.599,1.4,1.7,.826,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,13.0,,lopezbr01
125,Alex Sarr,19,WAS,C,67,67,27.1,4.9,12.4,.394,1.6,5.1,.308,3.3,7.3,.454,.457,1.7,2.5,.679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,13.0,ROY-4,sarral01
126,Moritz Wagner,27,ORL,C,30,1,18.8,4.7,8.3,.562,0.9,2.5,.360,3.8,5.8,.649,.616,2.6,3.7,.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,,wagnemo01
127,Malcolm Brogdon,32,WAS,PG,24,13,23.5,4.3,10.0,.433,0.7,2.3,.286,3.7,7.7,.478,.467,3.4,3.8,.880,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7,,brogdma01
128,Scoot Henderson,20,POR,PG,66,10,26.7,4.3,10.4,.419,1.6,4.5,.354,2.8,5.9,.469,.496,2.4,3.1,.767,0.8,2.2,3.0,5.1,1.0,0.2,2.7,2.7,12.7,,hendesc01
129,Keldon Johnson,25,SAS,SF,77,0,23.9,4.8,10.0,.482,1.1,3.6,.318,3.7,6.4,.573,.538,1.9,2.5,.773,1.5,3.4,4.8,1.6,0.6,0.3,1.0,1.5,12.7,,johnske04
130,D'Angelo Russell,28,2TM,PG,58,36,25.5,4.3,11.0,.390,1.9,6.2,.314,2.3,4.8,.489,.479,2.1,2.5,.834,0.3,2.4,2.8,5.1,1.0,0.4,1.9,2.0,12.6,,russeda01
130,D'Angelo Russell,28,LAL,PG,29,10,26.3,4.4,10.7,.415,1.9,5.8,.333,2.5,4.9,.510,.505,1.6,1.8,.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,,russeda01
130,D'Angelo Russell,28,BRK,PG,29,26,24.7,4.1,11.3,.367,2.0,6.6,.297,2.2,4.7,.467,.454,2.6,3.2,.826,0.4,2.4,2.8,5.6,1.1,0.7,2.0,2.1,12.9,,russeda01
131,Zaccharie Risacher,19,ATL,SF,75,73,24.6,4.8,10.4,.458,1.6,4.6,.355,3.1,5.8,.540,.537,1.4,2.0,.711,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2.0,12.6,ROY-2,risacza01
132,Santi Aldama,24,MEM,PF,65,16,25.5,4.8,10.0,.483,1.8,5.0,.368,3.0,5.0,.599,.576,1.0,1.4,.691,1.4,5.0,6.4,2.9,0.8,0.4,1.1,1.2,12.5,,aldamsa01
133,Ty Jerome,27,CLE,SG,70,3,19.9,4.6,8.8,.516,1.6,3.6,.439,3.0,5.2,.570,.606,1.8,2.1,.872,0.7,1.8,2.5,3.4,1.1,0.0,1.3,1.5,12.5,6MOY-3,jeromty01
134,Keegan Murray,24,SAC,PF,76,76,34.3,4.8,10.8,.444,2.0,5.9,.343,2.8,4.9,.566,.538,0.8,0.9,.833,1.9,4.8,6.7,1.4,0.8,0.9,0.8,2.4,12.4,,murrake02
135,Lonnie Walker IV,26,PHI,SG,20,7,23.9,4.5,10.6,.420,2.3,6.4,.354,2.2,4.3,.518,.526,1.2,1.5,.800,0.3,2.9,3.2,2.5,0.5,0.3,1.3,1.4,12.4,,walkelo01
136,Harrison Barnes,32,SAS,PF,82,82,27.2,4.2,8.3,.508,1.9,4.4,.433,2.3,3.9,.591,.622,2.0,2.4,.809,1.2,2.6,3.8,1.7,0.5,0.2,0.6,0.9,12.3,,barneha02
137,Bilal Coulibaly,20,WAS,SF,59,59,33.0,4.5,10.6,.421,1.1,3.8,.281,3.4,6.8,.500,.472,2.3,3.1,.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4,12.3,,coulibi01
138,Ayo Dosunmu,25,CHI,SG,46,26,30.3,4.8,9.8,.492,1.3,4.1,.328,3.5,5.7,.612,.561,1.3,1.7,.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3,,dosunay01
139,Daniel Gafford,26,DAL,C,57,31,21.5,5.0,7.1,.702,0.0,0.0,,5.0,7.1,.702,.702,2.4,3.4,.689,2.7,4.1,6.8,1.4,0.4,1.8,1.2,2.7,12.3,,gaffoda01
140,Jaden McDaniels,24,MIN,PF,82,82,31.9,4.9,10.2,.477,1.2,3.7,.330,3.6,6.5,.561,.537,1.3,1.6,.813,1.6,4.2,5.7,2.0,1.3,0.9,1.2,2.7,12.2,,mcdanja02
141,Jabari Smith Jr.,21,HOU,PF,57,39,30.1,4.4,9.9,.438,1.7,4.9,.354,2.6,5.1,.519,.525,1.8,2.2,.825,1.8,5.2,7.0,1.1,0.4,0.7,1.1,2.2,12.2,,smithja05
142,Caris LeVert,30,2TM,SG,64,3,24.9,4.4,9.4,.467,1.7,4.4,.373,2.7,4.9,.552,.556,1.7,2.4,.710,0.6,2.5,3.2,3.4,0.9,0.5,1.2,1.5,12.1,,leverca01
142,Caris LeVert,30,CLE,SF,38,3,23.8,3.6,7.8,.453,1.6,3.9,.405,2.0,3.9,.500,.554,1.5,2.2,.699,0.6,2.2,2.8,3.7,0.9,0.5,1.3,1.3,10.2,,leverca01
142,Caris LeVert,30,ATL,SG,26,0,26.6,5.6,11.6,.482,1.8,5.2,.338,3.8,6.3,.600,.558,2.0,2.8,.722,0.7,3.0,3.7,2.9,0.9,0.5,1.0,2.0,14.9,,leverca01
143,Drew Timme,24,BRK,PF,9,2,28.2,5.0,11.3,.441,1.0,3.9,.257,4.0,7.4,.537,.485,1.1,1.8,.625,1.9,5.3,7.2,2.2,0.4,0.1,1.7,2.3,12.1,,timmedr01
144,Tari Eason,23,HOU,PF,57,16,24.9,4.8,9.8,.487,1.1,3.2,.342,3.7,6.6,.557,.543,1.4,1.8,.760,2.2,4.1,6.4,1.5,1.7,0.9,1.1,2.4,12.0,,easonta01
145,Rudy Gobert,32,MIN,C,72,72,33.2,4.7,7.1,.669,0.0,0.0,,4.7,7.1,.669,.669,2.6,3.8,.674,3.7,7.2,10.9,1.8,0.8,1.4,1.2,2.5,12.0,DPOY-13DEF2,goberru01
146,Aaron Nesmith,25,IND,SF,45,37,25.0,4.3,8.4,.507,1.9,4.3,.431,2.4,4.1,.587,.617,1.6,1.8,.913,0.8,3.1,4.0,1.2,0.8,0.4,0.8,2.5,12.0,,nesmiaa01
147,Aaron Wiggins,26,OKC,SG,76,26,22.9,4.7,9.6,.488,1.7,4.5,.383,3.0,5.1,.578,.577,1.0,1.2,.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12.0,,wiggiaa01
148,Khris Middleton,33,2TM,SF,37,21,22.8,4.3,9.1,.475,1.3,3.6,.361,3.0,5.5,.549,.546,1.9,2.3,.857,0.4,3.4,3.7,4.1,0.9,0.2,1.5,2.0,11.9,,middlkh01
148,Khris Middleton,33,MIL,SF,23,7,23.2,4.7,9.2,.512,1.5,3.7,.407,3.2,5.4,.584,.595,1.7,2.0,.848,0.2,3.5,3.7,4.4,0.7,0.2,1.6,2.3,12.6,,middlkh01
148,Khris Middleton,33,WAS,SF,14,14,22.1,3.7,9.0,.413,0.9,3.4,.277,2.8,5.6,.494,.464,2.4,2.7,.868,0.6,3.1,3.7,3.4,1.3,0.2,1.4,1.6,10.7,,middlkh01
149,Jalen Duren,21,DET,C,78,78,26.1,4.8,7.0,.692,0.0,0.0,,4.8,7.0,.692,.692,2.1,3.1,.669,3.6,6.8,10.3,2.7,0.7,1.1,1.7,3.2,11.8,,durenja01
150,Donte DiVincenzo,28,MIN,SG,62,10,25.9,4.0,9.6,.422,2.8,7.1,.397,1.2,2.5,.490,.568,0.8,1.0,.778,0.5,3.2,3.7,3.6,1.2,0.3,1.6,1.8,11.7,,divindo01